model_id,sm_id,bam_url,crc32c,size,gcs_obj_updated_at
ACH-002400,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/21MT1.merged.sorted.bam,nUP9vA==,3326372540,2024-09-28
ACH-002401,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/21MT2.merged.sorted.bam,w1YUIQ==,3206146114,2024-09-28
ACH-002399,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/21NT.merged.sorted.bam,dNsRSA==,2449767247,2024-09-28
ACH-001999,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/9505-BIK.merged.sorted.bam,QeTCrw==,3188407406,2024-09-28
ACH-000222,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/AsPC-1.merged.sorted.bam,jre6dg==,2543558488,2024-09-28
ACH-002921,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/BCK4.merged.sorted.bam,WkoNHw==,3415606362,2024-09-28
ACH-001820,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/COLO-824.merged.sorted.bam,F7yJSQ==,3237523348,2024-09-28
ACH-002475,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HAP1.merged.sorted.bam,jfuvjA==,3810793206,2024-09-28
ACH-000111,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HCC1187.merged.sorted.bam,TY/OSA==,3315238880,2024-09-28
ACH-000699,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HCC1395.merged.sorted.bam,i8aEXQ==,3736543640,2024-09-28
ACH-000277,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HCC1419.merged.sorted.bam,UEeSXQ==,3545685582,2024-09-28
ACH-000352,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HCC1428.merged.sorted.bam,LPs29Q==,3176846670,2024-09-28
ACH-000178,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/Hs-766T.merged.sorted.bam,wFxrzQ==,3784550724,2024-09-28
ACH-000118,SM-NJQ4F,gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/PB_preprocess/SM-NJQ4F/merge/HUP-T3.merged.sorted.bam,l1mLEg==,3601776593,2024-09-28
