bam_url,crc32c,size,gcs_obj_updated_at,model_id
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-000244.merged.unaligned.bam,NlqtFg==,3700465318,2024-09-28,ACH-000244
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-000378.merged.unaligned.bam,wxadiQ==,4016640169,2024-09-28,ACH-000378
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001227.merged.unaligned.bam,WcET0A==,4410421594,2024-09-28,ACH-001227
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001346.merged.unaligned.bam,nJErWg==,4275790251,2024-09-28,ACH-001346
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001385.merged.unaligned.bam,4uCGNw==,4043245244,2024-09-28,ACH-001385
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001409.merged.unaligned.bam,rFZ9IA==,4160552507,2024-09-28,ACH-001409
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001414.merged.unaligned.bam,qwlFkA==,3245496240,2024-09-28,ACH-001414
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001416.merged.unaligned.bam,AMcMBQ==,4192469969,2024-09-28,ACH-001416
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001494.merged.unaligned.bam,6AHE+A==,4251452977,2024-09-28,ACH-001494
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001508.merged.unaligned.bam,EJmm4Q==,3364832348,2024-09-28,ACH-001508
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001536.merged.unaligned.bam,QfSIJA==,3897863039,2024-09-28,ACH-001536
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001549.merged.unaligned.bam,l2mgXA==,3842969338,2024-09-28,ACH-001549
gs://fc-aaf4de93-c104-45c4-a01a-a036869119c6/tag2028/merge/ACH-001625.merged.unaligned.bam,L5rmSA==,3943952128,2024-09-28,ACH-001625
